,Temperature Celsius,Temperature Fahrenheit,Wind Speed,Wind Gust Speed,Wind Degrees,Precipitation,Carbon Reading
0,36.4,97.5,7.6,0,225,0,18.31696061214227
1,36.4,97.5,7.6,0,225,0,20.439215291654946
2,36.4,97.5,7.6,0,225,0,20.877209468553694
3,36.4,97.5,7.6,0,225,0,18.505701523897983
4,36.4,97.5,7.6,0,225,0,19.590601573913624
5,36.4,97.5,7.6,0,225,0,24.68804696163653
6,36.4,97.5,7.6,0,225,0,24.84365015606108
7,36.4,97.5,7.6,0,225,0,22.80640092535442
8,36.4,97.5,7.6,0,225,0,24.130468848281875
9,36.4,97.5,7.6,0,225,0,23.23142816938445
10,36.4,97.5,7.6,0,225,0,22.682494677942273
11,36.4,97.5,7.6,0,225,0,22.208481243074882
12,36.4,97.5,7.6,0,225,0,18.207462067917586
13,36.4,97.5,7.6,0,225,0,17.45249842089475
14,36.4,97.5,7.6,0,225,0,17.20756746670795
15,36.4,97.5,7.6,0,225,0,20.372939856992634
16,36.4,97.5,7.6,0,225,0,22.20127739148115
17,36.4,97.5,7.6,0,225,0,21.240283588877652
18,36.4,97.5,7.6,0,225,0,20.90602487492861
19,36.4,97.5,7.6,0,225,0,19.61941698028854
20,36.4,97.5,7.6,0,225,0,21.790657850638574
21,36.4,97.5,7.6,0,225,0,17.949564180862076
22,36.4,97.5,7.6,0,225,0,18.574858499197784
23,36.4,97.5,7.6,0,225,0,24.58719303932432
24,36.4,97.5,7.6,0,225,0,22.96344489009772
25,36.4,97.5,7.6,0,225,0,21.692685468963855
26,36.4,97.5,7.6,0,225,0,21.671073914182667
27,36.4,97.5,7.6,0,225,0,20.48676071217356
28,36.4,97.5,7.6,0,225,0,20.61498927054194
29,36.4,97.5,7.6,0,225,0,20.682705475522997
30,36.4,97.5,7.6,0,225,0,18.83707869720953
31,36.4,97.5,7.6,0,225,0,15.874854921868017
32,36.4,97.5,7.6,0,225,0,13.507669288168547
33,36.5,97.7,3.5,0,157,0,15.439742285606764
34,36.5,97.7,5.1,0,157,0,13.929814991561088
35,36.5,97.7,5.1,0,157,0,16.608207014109666
36,36.5,97.7,5.1,0,157,0,15.97859038481772
37,36.5,97.7,5.1,0,157,0,13.0350966236199
38,36.5,97.7,5.1,0,157,0,15.553563140787688
39,36.5,97.7,2.7,0,270,0,13.07399742222604
40,36.5,97.7,2.7,0,270,0,11.57559629073033
41,36.5,97.7,5.1,0,157,0,15.596786250350062
42,36.5,97.7,2.7,0,270,0,16.606766243790922
43,36.5,97.7,2.7,0,270,0,17.296895226470195
44,36.5,97.7,2.7,0,270,0,22.035588804825373
45,36.5,97.7,2.7,0,270,0,26.588423012062332
46,36.5,97.7,2.7,0,270,0,23.59162074907092
47,36.5,97.7,2.7,0,270,0,25.821933202489532
48,36.5,97.7,2.7,0,270,0,30.651395310925704
49,36.5,97.7,2.7,0,270,0,27.929780178814745
50,36.5,97.7,0,0,247,0,21.089002705409335
51,36.5,97.7,0,0,247,0,28.851873182812106
52,36.5,97.7,0,0,247,0,26.075508778588805
53,36.5,97.7,0,0,247,0,25.62022535786511
54,36.5,97.7,0,0,247,0,22.649356960611115
55,36.5,97.7,0,0,225,0,19.728915524513226
56,36.5,97.7,0,0,225,0,24.012325682144713
57,36.5,97.7,0,0,225,0,25.594291492127685
58,36.5,97.7,0,0,225,0,28.434049790375795
59,36.5,97.7,0,0,225,0,29.916602448365307
60,36.5,97.7,0,0,225,0,25.795999336752104
61,36.5,97.7,0,0,225,0,23.278973589903067
62,36.5,97.7,0,0,225,0,28.23954579734511
63,36.5,97.7,0,0,225,0,24.777374721398775
64,36.5,97.7,0,0,225,0,22.464938359811644
65,36.5,97.7,0,0,225,0,27.209395019441807
66,36.5,97.7,0,0,225,0,29.55929140931633
67,36.5,97.7,0,0,225,0,25.059765703872966
68,36.5,97.7,0,0,225,0,5.970999750808882
69,36.5,97.7,0,0,225,0,5.970999750808882
70,36.5,97.7,0,0,225,0,2.282627734819444
71,36.5,97.7,0,0,247,0,0.9210997836045937
